Name,Address,Status,Classes_This_Week
Club Pilates West Village,"389 6th Ave, Manhattan, NY, 10014",Open,57
Club Pilates Penn Station,"501 7th Avenue, #110, New York, NY, 10018",coming soon,N/A
Club Pilates West Chelsea,"601 W 26th Street, New York, NY, 10001",Open,46
Club Pilates Midtown East,"850 2nd Ave, New York, NY, 10017",Open,89
Club Pilates Tribeca,"47 Murray St, New York, NY, 10007",Open,59
Club Pilates North 3rd,"56 N 3rd Street, Brooklyn, NY, 11249",Open,74
Club Pilates Hoboken,"1400 Hudson St., Ste. 3C, Hoboken, NJ, 07030",Open,78
Club Pilates East 62nd,"1181 2nd Avenue, New York, NY, 10065",coming soon,N/A
Club Pilates East 62nd,"1181 2nd Avenue, New York, NY, 10065",coming soon,N/A
Club Pilates West 57th,"601 W. 57th Street, New York, NY, 10019",Open,74
Club Pilates Jersey City,"171 Morgan Street, Jersey City, NJ, 07302",Open,79
Club Pilates Cobble Hill,"181 Pacific St., Brooklyn, NY, 11201",Open,74
Club Pilates West New York,"45-4 Riverwalk Pl., West New York, NJ, 07093",Open,80
Club Pilates East 89th,"1715 First Avenue, New York, NY, 10128",Open,89
Club Pilates Upper West Side,"580 Columbus Avenue, New York, NY, 10024",Open,94
Club Pilates Park Slope,"336 Flatbush Ave, Brooklyn, NY, 11238",Open,79
Club Pilates Towne Center Edgewater,"14 Edgewater Towne Center, Suite 3D, Edgewater, NJ, 07020",Open,82
Club Pilates Austin Street,"70-39A Austin Street, Forest Hills, NY, 11375",Open,79
Club Pilates Fort Lee,"201 Main Street, Fort Lee, NJ, 07024",Open,166
Club Pilates Bay Ridge,"540 86th St, Brooklyn, NY, 11209",Open,71
Club Pilates Rutherford,"1 Orient Way, Rutherford, Rutherford, NJ, 07070",coming soon,N/A
Club Pilates Kings Highway,"485 Kings Highway, Brooklyn, NY, 11223",Open,68
Club Pilates Sheepshead Bay,"1635 Sheepshead Bay Rd, Brooklyn, NY, 11235",Open,85
Club Pilates Fresh Meadows,"179-26 Union Turnpike, Flushing, NY, 11366",coming soon,N/A
Club Pilates Town Square Clifton,"700 Route 3 West, Clifton, NJ, 07012",Open,84
Club Pilates Englewood,"19 W. Palisade Ave., Englewood, NJ, 07631",Open,78
Club Pilates Bayside,"208-02 Cross Island Pkwy, Unit 4, Bayside, NY, 11360",Open,80
Club Pilates Hackensack,"1051 Main Street, River Edge, NJ, 07661",Open,98
Club Pilates Montclair,"568 Bloomfield Avenue, Montclair, NJ, 07042",Open,59
Club Pilates New Dorp,"2704-A Hylan Blvd, Staten Island, NY, 10306",coming soon,N/A
Club Pilates Staten Island,"2655 Richmond Ave, Staten Island, NY, 10314",Open,61
Club Pilates Lake Success (LA Fitness),"1111 MARCUS AVENUE, NEW HYDE PARK, NY, 11042",Open,38
Club Pilates Paramus Park,"700 Paramus Park, Paramus, NJ, 07652",Open,82
Club Pilates New Hyde Park,"1632 Marcus Ave., New Hyde Park, NY, 11040",Open,69
Club Pilates Emerson,"437 Old Hook Road, Unit #5, Emerson, NJ, 07630",Open,68
Club Pilates West Caldwell,"770 Bloomfield Ave., West Caldwell, NJ, 07006",Open,56
Club Pilates Short Hills,"800 Morris Tpke., Suite 103, Short Hills, NJ, 07078",Open,59
