Name,Address,Status,Classes_This_Week,4Rides,8Rides,Unlimited Rides,5Pack,10Pack,24Pack
CycleBar Flatiron,"39 W 21st Street, New York, NY, 10010",Open,33,$129.00,$229.00,$279.00,$179.00,$349.00,$10.00
CycleBar NoHo,"51 Astor Place, New York, NY, 10003",Open,38,$129.00,$229.00,$279.00,$179.00,$349.00,$10.00
CycleBar NoMad,"420 Park Ave S, New York, NY, 10016",Open,31,$129.00,$229.00,$279.00,$179.00,$349.00,$10.00
CycleBar Williamsburg,"173 N 3rd St., Brooklyn, NY, 11211",Open,35,$129.00,$229.00,$279.00,$179.00,$349.00,$10.00
CycleBar UES 67th,"201 E 67th St., 3rd Floor, New York, NY, 10065",Open,37,$129.00,$229.00,$279.00,$179.00,$349.00,$10.00
CycleBar Hoboken,"720 Monroe Street, Suite C301, Hoboken, NJ, 07030",Open,34,$109.00,$159.00,$199.00,$289.00,$149.00,$559.00
CycleBar Jersey City,"65 Bay Street, Jersey City, NJ, 07302",Open,34,$109.00,$159.00,$199.00,$289.00,$149.00,$559.00
CycleBar Fort Lee,"2012 Hudson Street, Unit 12A, Fort Lee, NJ, 07024",Closed,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CycleBar Montclair,"656 Bloomfield Avenue, Montclair, NJ, 07042",Open,29,$99.00,$149.00,$189.00,$269.00,$139.00,$499.00
CycleBar Manhasset,"1500 Northern Blvd., Manhasset, NY, 11030",coming soon,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CycleBar Millburn,"351 Millburn Ave., Millburn, NJ, 07041",Open,26,$99.00,$149.00,$189.00,$269.00,$139.00,$499.00
CycleBar Garden City,"950 Franklin Avenue, Suite 100, Garden City, NY, 11530",Open,37,$109.00,$159.00,$199.00,$289.00,$149.00,$559.00
CycleBar Livingston,"277 Eisenhower Parkway, Suite 2, Livingston, NJ, 07039",Open,21,$99.00,$149.00,$189.00,$269.00,$139.00,$499.00
CycleBar Wyckoff,"327 Franklin Avenue, Suite 7, Wyckoff, NJ, 07481",Open,33,$79.00,$129.00,$169.00,$229.00,$119.00,$399.00
CycleBar Montvale,"28 Farm View, Montvale, NJ, 07645",Open,37,$59.00,$109.00,$149.00,$189.00,$99.00,$349.00
CycleBar Bernardsville,"80 Morristown Road, Unit 25, Bernardsville, NJ, 07924",Open,22,$59.00,$109.00,$149.00,$189.00,$99.00,$349.00
CycleBar Huntington,"839 New York Avenue, A, Huntington, NY, 11743",Open,34,$109.00,$159.00,$199.00,$289.00,$289.00,$149.00
CycleBar Stamford,"1010 High Ridge Rd., Stamford, CT, 06905",Open,30,$109.00,$159.00,$199.00,$289.00,$149.00,$559.00
CycleBar Sayville,"161 Montauk Highway, Sayville, NY, 11782",coming soon,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CycleBar Monroe,"535 Monroe Turnpike Century Plaza, Monroe, CT, 06468",Open,23,$79.00,$129.00,$169.00,$229.00,$119.00,$399.00
CycleBar Abington,"1475 Old York Road, Abington, PA, 19001",Open,25,$79.00,$129.00,$169.00,$229.00,$119.00,$399.00
CycleBar North Wales,"1460 Bethlehem Pike, North Wales, PA, 19454",Open,28,$69.00,$119.00,$159.00,$209.00,$109.00,$369.00
CycleBar Center City,"1521 Locust St., Philadelphia, PA, 19102",Open,39,$119.00,$169.00,$209.00,$179.00,$349.00,$10.00
CycleBar Collegeville,"222 East Main Street, Suite #009, Collegeville, PA, 19426",Open,27,$69.00,$119.00,$159.00,$209.00,$249.00,$109.00
CycleBar Canton,"110 Albany Turnpike, Suite 611-B, Canton, CT, 06019",Closed,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CycleBar West Hartford,"55 Memorial Road, West Hartford, CT, 06107",Open,30,$89.00,$139.00,$179.00,$249.00,$129.00,$459.00
CycleBar Exton,"124 Woodcutter Street, Exton, PA, 19341",Open,23,$79.00,$129.00,$169.00,$229.00,$119.00,$399.00
CycleBar West Chester,"1357 Dilworthtown Crossing, West Chester, PA, 19382",Open,22,$79.00,$129.00,$169.00,$229.00,$119.00,$399.00
CycleBar Waterford,"903 Hartford Turnpike, #28, Waterford, CT, 06385",Open,22,$99.00,$149.00,$189.00,$269.00,$139.00,$499.00
CycleBar Smithfield,"371 Putnam Pike, Suite 310, Smithfield, RI, 02917",Open,23,$79.00,$129.00,$169.00,$229.00,$119.00,$399.00
CycleBar Providence,"23 Providence Place, Providence, RI, 02903",Open,25,$79.00,$129.00,$169.00,$229.00,$119.00,$399.00
